"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5186","Add all products to cart and checkout @regression","chromium","Thu Jul 03 12:54:26 BST 2025","passed","Thu Jul 03 12:54:31 BST 2025","Special Checkout Flow Scenarios","checkout/checkout.spec.ts","",""
"","3292","Validation: Missing Last Name @regression","chromium","Thu Jul 03 12:54:31 BST 2025","passed","Thu Jul 03 12:54:35 BST 2025","Negative Checkout Form Validations (TS + JSON Data-Driven)","checkout/negativeCheckoutFormValidation.spec.ts","",""
"","4803","Invalid Login test without password @regression","chromium","Thu Jul 03 12:54:42 BST 2025","passed","Thu Jul 03 12:54:47 BST 2025","Negative Login Validations","login/login.spec.ts","",""
"","7168","Invalid Login test without username @regression","chromium","Thu Jul 03 12:54:40 BST 2025","passed","Thu Jul 03 12:54:47 BST 2025","Negative Login Validations","login/login.spec.ts","",""
"","4698","Add Product By Name @regression","chromium","Thu Jul 03 12:54:22 BST 2025","passed","Thu Jul 03 12:54:27 BST 2025","Special Checkout Flow Scenarios","checkout/checkout.spec.ts","",""
"","2843","Validation: Missing First Name @regression","chromium","Thu Jul 03 12:54:29 BST 2025","passed","Thu Jul 03 12:54:32 BST 2025","Negative Checkout Form Validations (TS + JSON Data-Driven)","checkout/negativeCheckoutFormValidation.spec.ts","",""
"","1862","Verify product sorting Z to A @regression","chromium","Thu Jul 03 12:54:48 BST 2025","passed","Thu Jul 03 12:54:49 BST 2025","Product Sorting Tests","product/product-sorting.spec.ts","",""
"","7766","Checkout success with JSON Customer 2 @regression","chromium","Thu Jul 03 12:54:18 BST 2025","passed","Thu Jul 03 12:54:26 BST 2025","Positive Checkout Flow Tests (Data-Driven from JSON)","checkout/checkout.spec.ts","",""
"","9901","Checkout success with JSON Customer 3 @regression","chromium","Thu Jul 03 12:54:19 BST 2025","passed","Thu Jul 03 12:54:29 BST 2025","Positive Checkout Flow Tests (Data-Driven from JSON)","checkout/checkout.spec.ts","",""
"","3707","Validation: Missing First Name (JSON) @regression","chromium","Thu Jul 03 12:54:32 BST 2025","passed","Thu Jul 03 12:54:36 BST 2025","Negative Checkout Form Validations (TS + JSON Data-Driven)","checkout/negativeCheckoutFormValidation.spec.ts","",""
"","5195","Verify add to cart and remove one item @regression","chromium","Thu Jul 03 12:54:12 BST 2025","passed","Thu Jul 03 12:54:17 BST 2025","Cart Functionality Tests","cart/cart.spec.ts","",""
"","3262","Cancel checkout returns to cart","chromium","Thu Jul 03 12:54:36 BST 2025","passed","Thu Jul 03 12:54:39 BST 2025","Negative Checkout Form Validations (TS + JSON Data-Driven)","checkout/negativeCheckoutFormValidation.spec.ts","",""
"","1547","Login validUserTest - Using POM @smoke","chromium","Thu Jul 03 12:54:39 BST 2025","passed","Thu Jul 03 12:54:40 BST 2025","Positive Login & Logout Flows","login/login.spec.ts","",""
"","9585","Add all products to cart and verify count equals total product count @regression","chromium","Thu Jul 03 12:54:12 BST 2025","passed","Thu Jul 03 12:54:22 BST 2025","Cart Functionality Tests","cart/cart.spec.ts","",""
"","3390","Logout flow @regression","chromium","Thu Jul 03 12:54:39 BST 2025","passed","Thu Jul 03 12:54:42 BST 2025","Positive Login & Logout Flows","login/login.spec.ts","",""
"","9672","Invalid login shows error message @regression","chromium","Thu Jul 03 12:54:39 BST 2025","passed","Thu Jul 03 12:54:49 BST 2025","Negative Login Validations","login/login.spec.ts","",""
"","1925","Verify product sorting A to Z @regression","chromium","Thu Jul 03 12:54:47 BST 2025","passed","Thu Jul 03 12:54:49 BST 2025","Product Sorting Tests","product/product-sorting.spec.ts","",""
"","3690","Validation: Missing Last Name (JSON) @regression","chromium","Thu Jul 03 12:54:35 BST 2025","passed","Thu Jul 03 12:54:38 BST 2025","Negative Checkout Form Validations (TS + JSON Data-Driven)","checkout/negativeCheckoutFormValidation.spec.ts","",""
"","5984","Checkout success with JSON Customer 1 @regression","chromium","Thu Jul 03 12:54:12 BST 2025","passed","Thu Jul 03 12:54:18 BST 2025","Positive Checkout Flow Tests (Data-Driven from JSON)","checkout/checkout.spec.ts","",""
"","3285","Validation: Missing ZIP code @regression","chromium","Thu Jul 03 12:54:32 BST 2025","passed","Thu Jul 03 12:54:35 BST 2025","Negative Checkout Form Validations (TS + JSON Data-Driven)","checkout/negativeCheckoutFormValidation.spec.ts","",""
"","4158","Add and Remove product and checkout flow @regression","chromium","Thu Jul 03 12:54:27 BST 2025","passed","Thu Jul 03 12:54:31 BST 2025","Special Checkout Flow Scenarios","checkout/checkout.spec.ts","",""
"","3310","Validation: Missing ZIP code (JSON) @regression","chromium","Thu Jul 03 12:54:35 BST 2025","passed","Thu Jul 03 12:54:38 BST 2025","Negative Checkout Form Validations (TS + JSON Data-Driven)","checkout/negativeCheckoutFormValidation.spec.ts","",""
